Cycle,Length (mm)
1144,15.6830824002865
1145,15.6908402441882
1146,15.6986068246232
1147,15.7063821531209
1148,15.7141662412068
1149,15.7219591004024
1150,15.7297607422255
1151,15.7375711781902
1152,15.7453904198068
1153,15.7532184785823
1154,15.7610553660199
1155,15.7689010936195
1156,15.7767556728778
1157,15.784619115288
1158,15.7924914323403
1159,15.8003726355216
1160,15.8082627363158
1161,15.8161617462041
1162,15.8240696766646
1163,15.8319865391725
1164,15.8399123452006
1165,15.8478471062188
1166,15.8557908336946
1167,15.863743539093
1168,15.8717052338766
1169,15.8796759295057
1170,15.8876556374385
1171,15.8956443691309
1172,15.903642136037
1173,15.9116489496086
1174,15.919664821296
1175,15.9276897625475
1176,15.9357237848098
1177,15.943766899528
1178,15.9518191181457
1179,15.959880452105
1180,15.9679509128468
1181,15.9760305118106
1182,15.984119260435
1183,15.9922171701573
1184,16.000324252414
1185,16.0084405186408
1186,16.0165659802724
1187,16.024700648743
1188,16.0328445354862
1189,16.0409976519351
1190,16.0491600095225
1191,16.0573316196807
1192,16.0655124938421
1193,16.0737026434389
1194,16.0819020799031
1195,16.0901108146672
1196,16.0983288591636
1197,16.1065562248251
1198,16.1147929230851
1199,16.1230389653773
1200,16.131294363136
1201,16.1395591277965
1202,16.1478332707946
1203,16.1561168035672
1204,16.1644097375523
1205,16.172712084189
1206,16.1810238549175
1207,16.1893450611796
1208,16.1976757144184
1209,16.2060158260787
1210,16.2143654076069
1211,16.2227244704512
1212,16.2310930260618
1213,16.2394710858908
1214,16.2478586613925
1215,16.2562557640233
1216,16.2646624052423
1217,16.2730785965107
1218,16.2815043492924
1219,16.2899396750541
1220,16.2983845852653
1221,16.3068390913981
1222,16.3153032049282
1223,16.323776937334
1224,16.3322603000974
1225,16.3407533047036
1226,16.3492559626414
1227,16.3577682854032
1228,16.3662902844851
1229,16.3748219713871
1230,16.3833633576132
1231,16.3919144546716
1232,16.4004752740746
1233,16.409045827339
1234,16.417626125986
1235,16.4262161815414
1236,16.4348160055358
1237,16.4434256095046
1238,16.4520450049883
1239,16.4606742035322
1240,16.4693132166873
1241,16.4779620560096
1242,16.4866207330608
1243,16.4952892594081
1244,16.5039676466246
1245,16.5126559062891
1246,16.5213540499865
1247,16.5300620893079
1248,16.5387800358506
1249,16.5475079012184
1250,16.5562456970215
1251,16.564993434877
1252,16.5737511264085
1253,16.5825187832469
1254,16.59129641703
1255,16.6000840394027
1256,16.6088816620175
1257,16.6176892965342
1258,16.6265069546204
1259,16.6353346479513
1260,16.6441723882102
1261,16.6530201870881
1262,16.6618780562847
1263,16.6707460075076
1264,16.6796240524731
1265,16.688512202906
1266,16.69741047054
1267,16.7063188671174
1268,16.7152374043898
1269,16.7241660941181
1270,16.7331049480722
1271,16.7420539780317
1272,16.7510131957857
1273,16.7599826131332
1274,16.7689622418831
1275,16.7779520938543
1276,16.7869521808759
1277,16.7959625147874
1278,16.8049831074389
1279,16.8140139706911
1280,16.8230551164154
1281,16.8321065564944
1282,16.8411683028216
1283,16.850240367302
1284,16.8593227618518
1285,16.868415498399
1286,16.8775185888831
1287,16.8866320452557
1288,16.8957558794804
1289,16.9048901035329
1290,16.9140347294013
1291,16.9231897690864
1292,16.9323552346015
1293,16.9415311379726
1294,16.9507174912391
1295,16.9599143064532
1296,16.9691215956806
1297,16.9783393710004
1298,16.9875676445053
1299,16.996806428302
1300,17.006055734511
1301,17.0153155752669
1302,17.0245859627188
1303,17.03386690903
1304,17.0431584263785
1305,17.0524605269573
1306,17.0617732229741
1307,17.0710965266519
1308,17.0804304502289
1309,17.0897750059587
1310,17.0991302061107
1311,17.10849606297
1312,17.1178725888377
1313,17.127259796031
1314,17.1366576968835
1315,17.1460663037452
1316,17.1554856289827
1317,17.1649156849797
1318,17.1743564841367
1319,17.1838080388713
1320,17.1932703616187
1321,17.2027434648314
1322,17.2122273609797
1323,17.2217220625519
1324,17.2312275820542
1325,17.2407439320111
1326,17.2502711249656
1327,17.2598091734791
1328,17.269358090132
1329,17.2789178875236
1330,17.2884885782721
1331,17.2980701750154
1332,17.3076626904107
1333,17.3172661371349
1334,17.3268805278848
1335,17.3365058753773
1336,17.3461421923494
1337,17.3557894915587
1338,17.3654477857833
1339,17.3751170878221
1340,17.384797410495
1341,17.3944887666432
1342,17.404191169129
1343,17.4139046308365
1344,17.4236291646715
1345,17.4333647835615
1346,17.4431115004564
1347,17.4528693283284
1348,17.462638280172
1349,17.4724183690045
1350,17.4822096078661
1351,17.4920120098202
1352,17.5018255879533
1353,17.5116503553755
1354,17.5214863252204
1355,17.5313335106456
1356,17.5411919248328
1357,17.551061580988
1358,17.5609424923413
1359,17.570834672148
1360,17.5807381336878
1361,17.5906528902657
1362,17.6005789552118
1363,17.6105163418818
1364,17.6204650636571
1365,17.6304251339447
1366,17.6403965661779
1367,17.6503793738163
1368,17.6603735703457
1369,17.6703791692788
1370,17.6803961841551
1371,17.6904246285413
